Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
10-07-2023,17:34,10-07-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 78,3 EUR",,,,EUR,"21,70",
10-07-2023,17:34,10-07-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"78,30",EUR,"100,00",
07-07-2023,05:01,06-07-2023,,,iDEAL Deposit,,EUR,"100,00",EUR,"21,70",
07-07-2023,05:01,06-07-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,"-100,00",EUR,"-78,30",
06-07-2023,09:39,06-07-2023,VANGUARD S&P500,IE00B3XXRP09,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-1,00",EUR,"21,70",b7ab0494-1b46-4e2f-9bd2-f79e6c87cb5b
06-07-2023,09:39,06-07-2023,VANGUARD S&P500,IE00B3XXRP09,"Koop 1 @ 77,3 EUR",,EUR,"-77,30",EUR,"22,70",b7ab0494-1b46-4e2f-9bd2-f79e6c87cb5b
06-07-2023,09:37,06-07-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,"100,00",EUR,"100,00",
